comuna,VCI
Peumo,89.0
Pichidegua,74.0
Marchihue,82.0
Coinco,67.0
Requínoa,73.0
Olivar,52.0
Pichilemu,82.0
Coltauco,70.0
Doñihue,60.0
La Estrella,92.0
Rancagua,54.0
Las Cabras,85.0
Machalí,76.0
Graneros,55.0
Litueche,87.0
Navidad,92.0
Codegua,71.0
Mostazal,68.0
Chépica,83.0
Lolol,96.0
Chimbarongo,65.0
Nancagua,73.0
Placilla,65.0
Santa Cruz,84.0
Paredones,80.0
Pumanque,91.0
San Fernando,68.0
Palmilla,68.0
Malloa,74.0
Peralillo,74.0
San Vicente,87.0
Quinta de Tilcoco,66.0
Rengo,65.0
