comuna,VCI
Tortel,61.0
O'Higgins,64.0
Cochrane,43.0
Chile Chico,48.0
Río Ibáñez,51.0
Coihaique,48.0
Lago Verde,57.0
Guaitecas,66.0
Aisén,60.0
Cisnes,56.0
