comuna,VCI
Taltal,7.0
Antofagasta,52.0
Sierra Gorda,0.0
Mejillones,20.0
San Pedro de Atacama,84.0
Tocopilla,46.0
María Elena,60.0
Calama,56.0
Ollagüe,56.0
