"","x"
"R12.MOD13Q1.A2000049.061.250m.16.days.NDVI.filled.Smoothing",47.5317332370222
"R12.MOD13Q1.A2001049.061.250m.16.days.NDVI.filled.Smoothing",74.6526720478128
"R12.MOD13Q1.A2002049.061.250m.16.days.NDVI.filled.Smoothing",34.9943374858437
"R12.MOD13Q1.A2003049.061.250m.16.days.NDVI.filled.Smoothing",68.7498973609446
"R12.MOD13Q1.A2004049.061.250m.16.days.NDVI.filled.Smoothing",74.1956524162947
"R12.MOD13Q1.A2005049.061.250m.16.days.NDVI.filled.Smoothing",65.4635685882464
"R12.MOD13Q1.A2006049.061.250m.16.days.NDVI.filled.Smoothing",86.6651867509998
"R12.MOD13Q1.A2007049.061.250m.16.days.NDVI.filled.Smoothing",67.6795830933954
"R12.MOD13Q1.A2008049.061.250m.16.days.NDVI.filled.Smoothing",66.8868912533534
"R12.MOD13Q1.A2009049.061.250m.16.days.NDVI.filled.Smoothing",57.3212258796822
"R12.MOD13Q1.A2010049.061.250m.16.days.NDVI.filled.Smoothing",62.9318539781359
"R12.MOD13Q1.A2011049.061.250m.16.days.NDVI.filled.Smoothing",52.0745491793516
"R12.MOD13Q1.A2012049.061.250m.16.days.NDVI.filled.Smoothing",43.8329337819775
"R12.MOD13Q1.A2013049.061.250m.16.days.NDVI.filled.Smoothing",67.8914283919853
"R12.MOD13Q1.A2014049.061.250m.16.days.NDVI.filled.Smoothing",66.0675496961018
"R12.MOD13Q1.A2015049.061.250m.16.days.NDVI.filled.Smoothing",41.5616387838195
"R12.MOD13Q1.A2016049.061.250m.16.days.NDVI.filled.Smoothing",37.3298423025003
"R12.MOD13Q1.A2017049.061.250m.16.days.NDVI.filled.Smoothing",60.1414527075327
"R12.MOD13Q1.A2018049.061.250m.16.days.NDVI.filled.Smoothing",67.594346080398
"R12.MOD13Q1.A2019049.061.250m.16.days.NDVI.filled.Smoothing",47.3416108589985
"R12.MOD13Q1.A2020049.061.250m.16.days.NDVI.filled.Smoothing",78.6321735427469
"R12.MOD13Q1.A2021049.061.250m.16.days.NDVI.filled.Smoothing",54.3478807931852
"R12.MOD13Q1.A2022049.061.250m.16.days.NDVI.filled.Smoothing",29.1148993220253
"R12.MOD13Q1.A2023049.061.250m.16.days.NDVI.filled.Smoothing",8.97908979089791
"R12.MOD13Q1.A2024049.061.250m.16.days.NDVI.filled.Smoothing",49.2038851360661
