comuna,VCI
Río Bueno,32.0
Lago Ranco,59.0
La Unión,48.0
Paillaco,43.0
Corral,60.0
Futrono,56.0
Valdivia,54.0
Los Lagos,47.0
Máfil,49.0
Lanco,52.0
Panguipulli,50.0
Mariquina,50.0
