"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"3","Longaví",47,56,61,51,66,53,66,25,54,45,32,47,47,54,66,64,70,58,53,57,56,57,47,56
"2","Retiro",32,55,54,38,61,37,61,23,54,47,33,50,49,60,74,67,71,65,46,53,43,72,51,58
"25","Maule",36,58,48,48,67,54,72,18,65,59,48,60,56,61,78,76,71,67,42,58,42,61,51,58
"1","Parral",31,52,53,40,59,41,57,28,51,48,29,49,48,57,69,63,69,61,51,55,55,68,51,60
"5","Linares",46,60,59,56,68,54,67,22,54,47,35,49,48,59,71,67,73,62,56,61,51,54,45,60
"17","Sagrada Familia",31,68,59,55,70,60,68,17,65,66,54,62,57,65,80,71,79,73,39,61,42,64,63,61
"9","Yerbas Buenas",52,53,55,51,60,51,65,23,50,37,32,48,38,40,56,63,60,51,46,55,55,54,52,63
"7","Villa Alegre",49,61,52,51,59,48,63,16,53,46,37,47,37,46,62,68,58,57,49,51,44,50,50,65
"8","Colbún",48,58,58,55,69,54,66,19,52,48,40,51,56,61,66,67,74,64,61,65,62,65,55,66
"26","San Javier",27,66,57,49,69,55,70,19,71,61,40,66,56,70,82,76,79,67,43,58,40,70,56,66
"29","Pelarco",40,57,57,50,71,59,71,16,69,59,47,67,55,59,81,75,71,65,47,59,57,59,54,66
"30","San Rafael",35,61,60,54,77,57,71,8,70,60,46,67,53,57,82,74,75,69,42,63,58,63,61,66
"28","Talca",39,56,48,50,72,50,67,6,66,55,41,60,41,54,71,73,67,67,42,61,55,59,62,69
"12","Pencahue",21,63,55,50,70,57,70,21,67,59,45,64,64,68,85,71,76,76,53,74,48,75,59,71
"6","Cauquenes",14,53,56,39,65,49,69,34,61,61,29,65,59,75,82,67,79,71,35,59,58,83,60,72
"14","Río Claro",41,60,61,45,69,54,68,13,63,63,46,67,53,57,76,69,73,64,41,58,62,54,56,72
"27","San Clemente",41,54,54,52,67,56,68,14,60,53,39,58,54,59,72,73,76,68,57,65,62,60,56,72
"19","Curicó",43,64,64,53,71,62,71,18,56,59,47,61,50,58,70,61,76,65,49,56,49,47,53,74
"23","Teno",42,62,56,46,69,54,70,12,54,60,46,65,48,58,77,62,76,67,44,52,47,41,57,74
"22","Hualañé",20,76,57,58,71,71,75,31,68,66,53,56,65,70,92,69,82,65,30,49,36,58,61,75
"21","Rauco",23,76,56,60,72,66,73,18,60,68,49,56,60,68,85,64,82,79,42,54,34,29,64,77
"15","Molina",40,59,61,49,63,58,69,14,59,57,47,59,54,57,70,63,78,67,49,60,57,60,61,78
"16","Curepto",10,57,50,51,64,62,71,41,67,65,55,68,66,69,86,68,80,79,58,75,54,75,64,78
"4","Pelluhue",37,46,50,37,56,48,63,39,52,54,48,60,58,68,80,72,81,76,70,64,77,69,60,79
"13","Constitución",43,66,63,66,76,72,81,64,72,71,68,76,78,77,79,71,76,50,50,65,63,73,73,81
"18","Licantén",34,63,53,65,73,69,77,64,66,68,66,70,69,72,81,70,76,75,66,78,68,76,72,81
"24","Vichuquén",43,67,55,69,77,76,76,66,70,66,64,70,73,71,83,75,80,64,56,63,52,70,68,81
"11","Empedrado",37,60,63,61,77,67,73,43,72,64,51,75,68,79,87,77,87,25,32,48,46,69,65,83
"20","Romeral",49,67,69,61,72,69,78,9,63,64,48,53,57,66,75,72,82,73,60,58,49,50,57,83
"10","Chanco",15,43,44,42,53,47,64,28,57,58,34,56,53,63,78,75,83,71,65,71,73,84,71,85
