"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"18","Santa Juana",58,64,65,66,71,66,76,63,68,67,66,77,71,78,82,81,89,90,86,83,86,88,77,8
"33","Tomé",65,72,70,76,80,83,86,74,75,76,76,78,76,81,85,83,86,80,80,77,76,86,67,24
"19","Lota",67,75,73,87,83,91,90,91,89,85,84,83,68,74,76,74,80,80,68,74,76,81,64,31
"8","Alto Biobío",49,72,53,76,67,60,52,0,58,70,44,16,86,81,62,63,83,49,90,51,63,87,36,46
"12","Nacimiento",37,42,50,54,61,60,72,57,65,63,61,72,69,76,78,76,81,85,84,79,82,84,71,47
"7","Negrete",45,51,59,54,69,66,69,51,68,51,46,61,58,59,65,69,68,52,53,53,55,59,36,48
"2","Contulmo",46,57,66,63,66,62,64,63,68,70,70,77,77,84,73,75,78,81,78,78,70,83,57,49
"22","Coronel",71,74,74,76,82,80,87,76,79,72,56,67,63,75,79,73,79,77,74,79,81,81,68,51
"6","Mulchén",46,51,57,57,64,54,65,50,67,57,51,64,72,80,74,71,80,58,68,61,68,76,52,53
"30","Penco",33,58,64,74,84,87,90,87,80,78,70,75,76,83,86,86,86,71,75,77,77,88,64,53
"3","Cañete",54,50,62,48,63,53,61,40,68,64,39,68,65,71,83,77,74,70,69,67,71,76,63,54
"17","Los Angeles",45,48,54,53,58,61,69,46,66,53,37,62,55,62,66,66,73,53,50,50,64,54,47,55
"4","Quilaco",40,55,53,57,55,50,57,16,59,61,40,47,80,72,68,61,79,51,75,56,65,80,56,56
"20","Tucapel",47,43,44,49,48,50,56,19,57,54,38,55,75,68,78,63,81,56,72,63,68,69,51,57
"21","Antuco",46,59,52,64,57,60,62,6,58,61,49,45,74,82,75,63,83,57,87,69,77,82,54,57
"10","Santa Bárbara",46,46,53,50,56,51,64,33,64,59,43,59,76,71,81,66,81,56,73,63,77,71,62,59
"1","Tirúa",39,47,55,52,58,48,51,43,60,60,55,64,70,75,82,75,77,84,77,77,75,85,70,60
"5","Los Alamos",43,41,58,56,63,59,66,55,68,74,65,78,79,83,85,79,83,84,75,75,73,81,67,61
"14","Quilleco",46,39,48,43,50,46,60,27,59,56,38,61,79,69,82,68,82,61,72,64,76,68,57,61
"32","Talcahuano",59,70,69,71,74,74,75,57,71,64,38,56,48,50,65,60,67,65,61,50,60,61,56,62
"16","Arauco",51,52,60,61,69,65,70,63,65,66,65,75,73,79,75,76,81,81,73,74,75,80,66,63
"28","Concepción",28,45,56,65,79,83,88,85,78,87,82,82,84,85,86,86,89,61,67,71,69,83,62,63
"29","Hualpén",45,36,51,56,63,59,75,52,71,56,37,55,46,53,72,69,80,71,63,58,76,78,53,64
"26","Chiguayante",52,68,74,78,76,79,82,84,73,68,68,75,80,81,81,81,80,86,82,79,46,79,61,65
"9","Lebu",56,59,64,66,67,62,66,59,62,68,66,76,72,77,79,76,83,86,80,79,77,84,73,66
"24","Hualqui",55,65,67,60,72,63,77,52,64,72,69,76,74,81,84,82,88,78,72,74,70,83,62,66
"25","Cabrero",46,53,55,56,64,62,76,43,70,54,38,60,54,64,70,71,78,58,57,58,73,63,58,67
"11","Curanilahue",70,74,67,80,77,76,82,77,75,79,79,82,84,91,84,83,85,88,77,82,77,83,71,68
"13","Laja",33,36,56,37,60,47,72,47,68,68,33,65,64,78,80,70,84,62,64,57,73,74,58,68
"31","Florida",41,49,55,52,66,63,75,59,69,74,67,76,68,79,81,79,85,46,55,60,66,82,66,69
"27","San Pedro de la Paz",67,69,75,84,80,81,80,79,77,79,82,75,75,69,76,66,71,68,64,69,75,81,65,72
"15","San Rosendo",25,26,47,32,58,46,67,43,62,67,41,65,54,71,75,65,78,74,73,64,79,87,68,76
"23","Yumbel",15,21,44,27,55,40,63,38,57,60,35,63,57,74,80,71,87,73,73,69,81,86,65,78
