"","x"
"R15.MOD13Q1.A2000257.061.250m.16.days.SAVI.filled.Smoothing",23.6848765052975
"R15.MOD13Q1.A2001257.061.250m.16.days.SAVI.filled.Smoothing",50.5853082394023
"R15.MOD13Q1.A2002257.061.250m.16.days.SAVI.filled.Smoothing",45.5563167657132
"R15.MOD13Q1.A2003257.061.250m.16.days.SAVI.filled.Smoothing",32.3784157351316
"R15.MOD13Q1.A2004257.061.250m.16.days.SAVI.filled.Smoothing",43.4125751784489
"R15.MOD13Q1.A2005257.061.250m.16.days.SAVI.filled.Smoothing",30.9067541125923
"R15.MOD13Q1.A2006257.061.250m.16.days.SAVI.filled.Smoothing",43.2132872853505
"R15.MOD13Q1.A2007257.061.250m.16.days.SAVI.filled.Smoothing",35.9190063015302
"R15.MOD13Q1.A2008257.061.250m.16.days.SAVI.filled.Smoothing",29.2692442821266
"R15.MOD13Q1.A2009257.061.250m.16.days.SAVI.filled.Smoothing",16.851007395092
"R15.MOD13Q1.A2010257.061.250m.16.days.SAVI.filled.Smoothing",16.6688983149084
"R15.MOD13Q1.A2011257.061.250m.16.days.SAVI.filled.Smoothing",50.5015981243377
"R15.MOD13Q1.A2012257.061.250m.16.days.SAVI.filled.Smoothing",71.4983660193184
"R15.MOD13Q1.A2013257.061.250m.16.days.SAVI.filled.Smoothing",45.4054822300163
"R15.MOD13Q1.A2014257.061.250m.16.days.SAVI.filled.Smoothing",41.5363577413642
"R15.MOD13Q1.A2015257.061.250m.16.days.SAVI.filled.Smoothing",57.0595812647525
"R15.MOD13Q1.A2016257.061.250m.16.days.SAVI.filled.Smoothing",42.5398792159339
"R15.MOD13Q1.A2017257.061.250m.16.days.SAVI.filled.Smoothing",49.2442611284378
"R15.MOD13Q1.A2018257.061.250m.16.days.SAVI.filled.Smoothing",33.1995358906796
"R15.MOD13Q1.A2019257.061.250m.16.days.SAVI.filled.Smoothing",59.5877865970948
"R15.MOD13Q1.A2020257.061.250m.16.days.SAVI.filled.Smoothing",86.3340907562549
"R15.MOD13Q1.A2021257.061.250m.16.days.SAVI.filled.Smoothing",54.8157396538036
"R15.MOD13Q1.A2022257.061.250m.16.days.SAVI.filled.Smoothing",39.9263407473247
"R15.MOD13Q1.A2023257.061.250m.16.days.SAVI.filled.Smoothing",51.8946498703121
