"","x"
"R15.MOD13Q1.A2000049.061.250m.16.days.SAVI.filled.Smoothing",40.3399633761722
"R15.MOD13Q1.A2001049.061.250m.16.days.SAVI.filled.Smoothing",46.9862359999915
"R15.MOD13Q1.A2002049.061.250m.16.days.SAVI.filled.Smoothing",41.97492711432
"R15.MOD13Q1.A2003049.061.250m.16.days.SAVI.filled.Smoothing",33.0500167271025
"R15.MOD13Q1.A2004049.061.250m.16.days.SAVI.filled.Smoothing",32.686811831982
"R15.MOD13Q1.A2005049.061.250m.16.days.SAVI.filled.Smoothing",35.3998181646385
"R15.MOD13Q1.A2006049.061.250m.16.days.SAVI.filled.Smoothing",37.9329821489989
"R15.MOD13Q1.A2007049.061.250m.16.days.SAVI.filled.Smoothing",31.2369910626076
"R15.MOD13Q1.A2008049.061.250m.16.days.SAVI.filled.Smoothing",36.8484514494717
"R15.MOD13Q1.A2009049.061.250m.16.days.SAVI.filled.Smoothing",18.781831609627
"R15.MOD13Q1.A2010049.061.250m.16.days.SAVI.filled.Smoothing",3.13674359255625
"R15.MOD13Q1.A2011049.061.250m.16.days.SAVI.filled.Smoothing",28.2854458428091
"R15.MOD13Q1.A2012049.061.250m.16.days.SAVI.filled.Smoothing",67.1480304564227
"R15.MOD13Q1.A2013049.061.250m.16.days.SAVI.filled.Smoothing",51.8276521417363
"R15.MOD13Q1.A2014049.061.250m.16.days.SAVI.filled.Smoothing",35.8955063242089
"R15.MOD13Q1.A2015049.061.250m.16.days.SAVI.filled.Smoothing",31.9306350897398
"R15.MOD13Q1.A2016049.061.250m.16.days.SAVI.filled.Smoothing",25.4329797992672
"R15.MOD13Q1.A2017049.061.250m.16.days.SAVI.filled.Smoothing",51.0378938621114
"R15.MOD13Q1.A2018049.061.250m.16.days.SAVI.filled.Smoothing",34.7244485043149
"R15.MOD13Q1.A2019049.061.250m.16.days.SAVI.filled.Smoothing",54.3727987407345
"R15.MOD13Q1.A2020049.061.250m.16.days.SAVI.filled.Smoothing",67.4451269615021
"R15.MOD13Q1.A2021049.061.250m.16.days.SAVI.filled.Smoothing",48.2307142077538
"R15.MOD13Q1.A2022049.061.250m.16.days.SAVI.filled.Smoothing",49.1176524732206
"R15.MOD13Q1.A2023049.061.250m.16.days.SAVI.filled.Smoothing",47.1439117781279
"R15.MOD13Q1.A2024049.061.250m.16.days.SAVI.filled_Smoothing",67.6055042876082
