"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"2","Arica",40,56,29,26,23,7,17,2,24,11,13,57,77,37,22,36,29,54,25,73,94,49,20,36
"1","Camarones",41,74,40,30,36,35,25,11,36,9,8,53,81,47,29,48,34,65,29,72,85,32,27,45
"3","Putre",30,51,40,46,45,40,50,40,34,30,22,45,70,60,49,57,49,53,43,63,82,60,42,61
"4","General Lagos",24,45,46,58,51,43,54,47,31,25,16,42,62,60,42,67,47,53,49,53,77,63,44,66
