comuna,VCI
Alhué,80.0
San Pedro,85.0
Paine,65.0
Isla de Maipo,61.0
Buin,49.0
Talagante,47.0
El Monte,54.0
Melipilla,69.0
Peñaflor,50.0
Pirque,67.0
Calera de Tango,55.0
Padre Hurtado,41.0
María Pinto,61.0
Curacaví,45.0
Lampa,36.0
San José de Maipo,69.0
Colina,42.0
Tiltil,34.0
