"","x"
"R13.MOD13Q1.A2000049.061.250m.16.days.NDVI.filled.Smoothing",69.7158278252884
"R13.MOD13Q1.A2001049.061.250m.16.days.NDVI.filled.Smoothing",58.7597832630945
"R13.MOD13Q1.A2002049.061.250m.16.days.NDVI.filled.Smoothing",65.4611426855906
"R13.MOD13Q1.A2003049.061.250m.16.days.NDVI.filled.Smoothing",74.2434431741762
"R13.MOD13Q1.A2004049.061.250m.16.days.NDVI.filled.Smoothing",53.3728689420945
"R13.MOD13Q1.A2005049.061.250m.16.days.NDVI.filled.Smoothing",69.882100750268
"R13.MOD13Q1.A2006049.061.250m.16.days.NDVI.filled.Smoothing",72.4176486571742
"R13.MOD13Q1.A2007049.061.250m.16.days.NDVI.filled.Smoothing",70.3883495145631
"R13.MOD13Q1.A2008049.061.250m.16.days.NDVI.filled.Smoothing",52.0005993517538
"R13.MOD13Q1.A2009049.061.250m.16.days.NDVI.filled.Smoothing",64.7243602696695
"R13.MOD13Q1.A2010049.061.250m.16.days.NDVI.filled.Smoothing",62.5211141593873
"R13.MOD13Q1.A2011049.061.250m.16.days.NDVI.filled.Smoothing",58.3953244313537
"R13.MOD13Q1.A2012049.061.250m.16.days.NDVI.filled.Smoothing",39.5647883093558
"R13.MOD13Q1.A2013049.061.250m.16.days.NDVI.filled.Smoothing",64.4197026911291
"R13.MOD13Q1.A2014049.061.250m.16.days.NDVI.filled.Smoothing",40.6123660894558
"R13.MOD13Q1.A2015049.061.250m.16.days.NDVI.filled.Smoothing",43.2805314256515
"R13.MOD13Q1.A2016049.061.250m.16.days.NDVI.filled.Smoothing",53.5443149717514
"R13.MOD13Q1.A2017049.061.250m.16.days.NDVI.filled.Smoothing",50.8982035928144
"R13.MOD13Q1.A2018049.061.250m.16.days.NDVI.filled.Smoothing",55.5688120304695
"R13.MOD13Q1.A2019049.061.250m.16.days.NDVI.filled.Smoothing",40.2016890391852
"R13.MOD13Q1.A2020049.061.250m.16.days.NDVI.filled.Smoothing",1.62646581669192
"R13.MOD13Q1.A2021049.061.250m.16.days.NDVI.filled.Smoothing",49.0788385555453
"R13.MOD13Q1.A2022049.061.250m.16.days.NDVI.filled.Smoothing",26.1444141689373
"R13.MOD13Q1.A2023049.061.250m.16.days.NDVI.filled.Smoothing",34.8962336664105
"R13.MOD13Q1.A2024049.061.250m.16.days.NDVI.filled.Smoothing",59.0970121516385
