comuna,VCI
Yungay,72.0
Pemuco,71.0
El Carmen,76.0
San Ignacio,72.0
Bulnes,67.0
Quillón,77.0
Pinto,68.0
Chillán Viejo,72.0
Ránquil,82.0
Chillán,69.0
Coihueco,61.0
Portezuelo,85.0
Coelemu,78.0
San Nicolás,71.0
Treguaco,86.0
San Fabián,63.0
Ninhue,83.0
San Carlos,72.0
Ñiquén,69.0
Quirihue,87.0
Cobquecura,83.0
