"","x"
"R16.MOD13Q1.A2000257.061.250m.16.days.NDVI.filled.Smoothing",36.9844100216541
"R16.MOD13Q1.A2001257.061.250m.16.days.NDVI.filled.Smoothing",45.063970324905
"R16.MOD13Q1.A2002257.061.250m.16.days.NDVI.filled.Smoothing",60.4924008324399
"R16.MOD13Q1.A2003257.061.250m.16.days.NDVI.filled.Smoothing",49.6069009557907
"R16.MOD13Q1.A2004257.061.250m.16.days.NDVI.filled.Smoothing",59.4221679679019
"R16.MOD13Q1.A2005257.061.250m.16.days.NDVI.filled.Smoothing",41.1487971183397
"R16.MOD13Q1.A2006257.061.250m.16.days.NDVI.filled.Smoothing",56.2326404668338
"R16.MOD13Q1.A2007257.061.250m.16.days.NDVI.filled.Smoothing",30.2233834040711
"R16.MOD13Q1.A2008257.061.250m.16.days.NDVI.filled.Smoothing",50.2574849604056
"R16.MOD13Q1.A2009257.061.250m.16.days.NDVI.filled.Smoothing",52.9577325533493
"R16.MOD13Q1.A2010257.061.250m.16.days.NDVI.filled.Smoothing",40.0210386135147
"R16.MOD13Q1.A2011257.061.250m.16.days.NDVI.filled.Smoothing",59.6113451357659
"R16.MOD13Q1.A2012257.061.250m.16.days.NDVI.filled.Smoothing",55.5847793502826
"R16.MOD13Q1.A2013257.061.250m.16.days.NDVI.filled.Smoothing",57.4711594938441
"R16.MOD13Q1.A2014257.061.250m.16.days.NDVI.filled.Smoothing",73.080537673692
"R16.MOD13Q1.A2015257.061.250m.16.days.NDVI.filled.Smoothing",66.6711710886348
"R16.MOD13Q1.A2016257.061.250m.16.days.NDVI.filled.Smoothing",77.1923079472613
"R16.MOD13Q1.A2017257.061.250m.16.days.NDVI.filled.Smoothing",58.906357435428
"R16.MOD13Q1.A2018257.061.250m.16.days.NDVI.filled.Smoothing",61.9935322526371
"R16.MOD13Q1.A2019257.061.250m.16.days.NDVI.filled.Smoothing",67.3067522487311
"R16.MOD13Q1.A2020257.061.250m.16.days.NDVI.filled.Smoothing",68.4871245447593
"R16.MOD13Q1.A2021257.061.250m.16.days.NDVI.filled.Smoothing",79.8410815210714
"R16.MOD13Q1.A2022257.061.250m.16.days.NDVI.filled.Smoothing",64.1524998692891
"R16.MOD13Q1.A2023257.061.250m.16.days.NDVI.filled.Smoothing",73.40816786624
