"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"7","Primavera",39,50,28,75,64,69,65,40,55,61,48,56,50,75,66,46,57,82,57,78,52,48,28,25
"3","Punta Arenas",59,67,63,84,68,74,76,69,37,72,62,49,63,88,67,65,75,74,68,77,43,69,58,35
"9","San Gregorio",66,49,61,80,61,75,54,50,46,69,56,51,65,84,61,58,63,93,61,93,23,58,45,37
"4","Río Verde",54,52,56,76,62,61,62,62,47,70,60,48,61,79,49,57,72,78,65,77,44,68,52,38
"5","Porvenir",47,50,31,80,59,65,71,44,42,57,51,53,54,70,61,53,71,87,62,78,36,57,46,40
"8","Laguna Blanca",67,68,66,95,74,84,79,68,17,84,72,20,75,92,50,65,84,94,80,86,37,77,74,41
"1","Cabo de Hornos",56,51,54,61,64,60,53,53,52,54,55,52,52,52,55,50,59,56,57,50,52,56,55,47
"10","Torres del Paine",50,49,57,87,62,58,53,60,51,66,57,39,56,65,64,60,55,76,63,74,38,66,47,49
"6","Natales",58,55,61,89,62,59,63,66,45,71,62,49,58,67,55,55,80,75,66,69,38,66,58,51
"2","Timaukel",63,60,63,85,80,70,76,63,48,60,58,38,64,85,62,39,77,82,71,75,57,65,63,63
