"","x"
"R12.MOD13Q1.A2000257.061.250m.16.days.NDVI.filled.Smoothing",46.8575802542083
"R12.MOD13Q1.A2001257.061.250m.16.days.NDVI.filled.Smoothing",45.2807596700391
"R12.MOD13Q1.A2002257.061.250m.16.days.NDVI.filled.Smoothing",46.0999336129739
"R12.MOD13Q1.A2003257.061.250m.16.days.NDVI.filled.Smoothing",76.4825731137437
"R12.MOD13Q1.A2004257.061.250m.16.days.NDVI.filled.Smoothing",58.7397831276785
"R12.MOD13Q1.A2005257.061.250m.16.days.NDVI.filled.Smoothing",71.1840362088201
"R12.MOD13Q1.A2006257.061.250m.16.days.NDVI.filled.Smoothing",58.1639033036674
"R12.MOD13Q1.A2007257.061.250m.16.days.NDVI.filled.Smoothing",59.3194579891587
"R12.MOD13Q1.A2008257.061.250m.16.days.NDVI.filled.Smoothing",46.5038346964802
"R12.MOD13Q1.A2009257.061.250m.16.days.NDVI.filled.Smoothing",56.1229580442781
"R12.MOD13Q1.A2010257.061.250m.16.days.NDVI.filled.Smoothing",47.7426794037971
"R12.MOD13Q1.A2011257.061.250m.16.days.NDVI.filled.Smoothing",48.363933602127
"R12.MOD13Q1.A2012257.061.250m.16.days.NDVI.filled.Smoothing",62.1485740110412
"R12.MOD13Q1.A2013257.061.250m.16.days.NDVI.filled.Smoothing",64.830909817733
"R12.MOD13Q1.A2014257.061.250m.16.days.NDVI.filled.Smoothing",61.8324248947748
"R12.MOD13Q1.A2015257.061.250m.16.days.NDVI.filled.Smoothing",49.6874235851617
"R12.MOD13Q1.A2016257.061.250m.16.days.NDVI.filled.Smoothing",56.5779707558961
"R12.MOD13Q1.A2017257.061.250m.16.days.NDVI.filled.Smoothing",80.070501200421
"R12.MOD13Q1.A2018257.061.250m.16.days.NDVI.filled.Smoothing",56.4478381742429
"R12.MOD13Q1.A2019257.061.250m.16.days.NDVI.filled.Smoothing",75.6556399754556
"R12.MOD13Q1.A2020257.061.250m.16.days.NDVI.filled.Smoothing",49.6038825283277
"R12.MOD13Q1.A2021257.061.250m.16.days.NDVI.filled.Smoothing",58.2381059332512
"R12.MOD13Q1.A2022257.061.250m.16.days.NDVI.filled.Smoothing",33.7944143849073
"R12.MOD13Q1.A2023257.061.250m.16.days.NDVI.filled.Smoothing",23.4090865833
