comuna,VCI
Cabo de Hornos,28.0
Timaukel,23.0
Punta Arenas,49.0
Río Verde,56.0
Porvenir,34.0
Natales,55.0
Primavera,42.0
Laguna Blanca,68.0
San Gregorio,61.0
Torres del Paine,46.0
