"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"14","Vicuña",37,21,90,53,22,31,16,2,47,24,51,57,11,19,15,28,14,100,22,7,24,2,17,6
"13","La Serena",43,15,90,57,24,27,16,1,47,22,55,67,11,17,20,31,9,100,23,6,26,1,25,7
"9","Río Hurtado",42,29,84,53,18,35,20,4,46,25,61,58,12,51,16,17,17,100,22,5,23,0,21,8
"10","Andacollo",53,34,88,63,21,22,33,3,50,28,67,70,11,53,21,20,11,100,21,2,32,0,26,9
"15","La Higuera",42,9,89,29,24,25,7,1,32,14,42,49,9,15,10,35,9,100,21,8,19,3,20,9
"11","Paiguano",30,30,84,65,38,53,26,19,33,34,24,42,13,16,13,53,42,100,35,23,29,10,9,10
"12","Coquimbo",66,43,96,77,37,25,63,2,72,31,71,76,15,58,32,31,28,100,43,2,56,3,34,10
"7","Monte Patria",51,39,84,64,32,48,39,24,54,35,63,61,17,59,33,19,48,100,38,7,30,0,23,12
"3","Illapel",67,64,90,67,61,51,71,45,63,58,54,60,13,51,30,17,82,100,46,0,49,5,30,13
"5","Combarbalá",63,58,87,64,34,26,60,27,51,43,66,65,15,52,26,17,62,100,44,1,38,1,28,17
"2","Salamanca",64,68,87,79,63,72,75,54,74,66,60,58,20,55,36,24,88,99,52,0,46,7,25,19
"8","Ovalle",72,57,92,72,38,21,75,6,57,26,65,63,17,57,30,29,50,100,39,3,57,5,39,22
"4","Canela",66,63,92,71,63,29,78,39,58,48,51,55,19,48,34,19,80,100,51,0,54,6,34,23
"1","Los Vilos",69,69,95,85,80,82,84,52,83,68,65,63,38,66,59,28,85,100,58,0,54,5,34,25
"6","Punitaqui",74,65,91,75,46,22,79,10,60,35,65,60,17,60,33,25,56,100,44,0,53,5,33,26
