"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"16","San José de Maipo",57,64,67,71,66,82,80,52,73,70,60,41,68,72,60,33,95,71,54,25,0,27,36,48
"14","Curacaví",59,77,79,83,84,91,84,62,89,71,69,56,76,82,69,36,88,92,58,17,47,0,67,63
"15","Lampa",59,60,75,73,77,88,78,52,87,61,62,51,70,71,59,36,81,89,44,14,45,0,55,63
"18","Tiltil",54,59,76,72,78,92,80,57,92,63,65,59,74,74,64,42,86,91,50,22,46,0,58,68
"7","El Monte",39,70,60,71,79,71,72,47,73,57,59,50,51,56,60,32,69,73,46,20,43,10,45,69
"10","Pirque",60,68,71,72,71,80,78,42,73,64,58,43,63,77,59,26,86,87,44,21,22,12,49,69
"5","Buin",34,55,58,64,64,57,63,40,63,48,52,47,53,60,53,22,61,71,31,9,35,4,42,71
"12","Padre Hurtado",52,72,66,76,84,73,77,53,81,62,57,51,65,67,57,30,73,75,45,3,48,11,57,72
"4","Isla de Maipo",35,66,65,74,80,77,77,50,72,57,55,46,54,56,54,32,70,73,45,11,40,10,40,73
"3","Paine",50,74,72,78,83,74,78,56,73,67,63,57,62,72,65,36,81,82,47,23,33,0,45,74
"9","Peñaflor",49,75,62,76,84,75,75,52,80,57,54,51,59,64,65,28,75,78,51,6,47,11,59,74
"17","Colina",43,49,65,64,75,85,74,50,96,56,55,47,63,65,57,27,80,89,28,14,48,0,37,77
"13","María Pinto",56,87,73,85,90,82,78,54,83,68,68,56,70,74,68,37,82,84,55,24,52,0,60,78
"6","Talagante",40,64,60,68,77,74,71,43,68,51,52,46,51,57,59,28,71,77,43,9,48,8,57,79
"1","Alhué",51,79,79,82,83,87,85,61,70,71,56,50,63,75,69,53,93,76,61,35,16,12,42,83
"11","Calera de Tango",37,59,59,67,65,69,69,43,73,46,41,38,48,49,46,16,66,67,34,6,45,6,45,83
"8","Melipilla",43,82,67,77,82,78,75,48,77,56,58,51,64,68,69,33,80,80,51,23,48,7,51,84
"2","San Pedro",25,86,63,70,84,84,75,44,78,49,56,51,72,73,82,29,87,88,51,44,37,0,62,88
