"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"11","Coihueco",51,57,57,57,60,54,67,27,56,51,32,47,56,57,69,62,73,56,61,60,65,65,51,58
"16","San Fabián",58,70,65,71,68,65,65,14,67,61,33,33,76,67,69,64,83,65,79,72,60,76,51,60
"2","Pemuco",45,44,55,48,61,43,66,43,64,55,47,66,72,71,84,77,86,62,64,58,72,67,51,61
"10","Chillán",44,49,57,44,64,44,66,29,58,49,31,57,52,57,71,68,73,62,47,61,73,68,58,61
"1","Yungay",44,42,46,49,54,45,57,25,58,47,33,54,66,62,74,69,80,52,63,61,69,68,51,62
"3","El Carmen",43,35,47,41,49,33,55,19,51,46,24,50,61,55,76,67,84,53,61,56,66,63,52,62
"5","Bulnes",52,53,61,48,63,45,67,35,59,46,32,51,51,58,69,69,76,59,44,53,68,67,50,62
"7","Pinto",49,50,53,52,62,49,63,13,55,53,27,49,65,62,77,65,83,56,73,66,67,65,49,62
"4","San Ignacio",40,35,46,35,53,32,56,23,49,38,24,47,51,48,65,60,74,50,50,56,72,68,53,64
"14","San Nicolás",38,41,51,30,61,36,64,27,56,57,29,60,55,68,78,70,78,73,42,62,75,83,59,64
"6","Quillón",24,35,51,36,61,43,67,36,62,56,40,66,51,66,76,69,84,67,68,70,79,90,69,65
"8","Chillán Viejo",42,44,53,36,59,35,70,33,59,58,36,64,62,68,81,76,76,69,44,59,73,78,57,65
"9","Ránquil",34,42,60,47,67,57,73,51,67,65,49,69,36,57,70,68,77,71,73,71,79,94,72,66
"13","Coelemu",47,57,64,58,71,67,77,37,57,62,54,73,67,78,83,81,87,83,77,75,80,93,66,66
"19","Ñiquén",26,45,49,33,55,33,55,31,49,55,27,51,50,55,73,65,80,67,55,58,67,77,59,69
"18","San Carlos",32,43,47,35,59,36,58,27,50,54,24,52,47,57,71,69,74,66,51,63,73,75,62,73
"12","Portezuelo",19,30,48,28,52,36,61,30,57,59,29,66,54,72,79,70,84,76,54,73,75,92,66,75
"17","Ninhue",9,31,50,25,59,33,63,29,58,62,28,68,55,77,80,65,82,85,50,69,77,92,73,75
"15","Treguaco",18,33,45,37,51,41,59,41,62,62,49,68,60,72,77,70,79,83,69,74,75,92,68,76
"20","Quirihue",18,40,54,38,59,52,68,42,63,65,46,70,60,75,77,72,87,79,59,69,74,81,73,80
"21","Cobquecura",34,46,54,51,57,56,64,51,58,62,61,67,61,71,77,74,83,79,80,79,79,78,70,82
