"","x"
"R14.MOD13Q1.A2000257.061.250m.16.days.NDVI.filled.Smoothing",50.0052555253487
"R14.MOD13Q1.A2001257.061.250m.16.days.NDVI.filled.Smoothing",58.0509177130992
"R14.MOD13Q1.A2002257.061.250m.16.days.NDVI.filled.Smoothing",65.6566917638691
"R14.MOD13Q1.A2003257.061.250m.16.days.NDVI.filled.Smoothing",61.2642711844153
"R14.MOD13Q1.A2004257.061.250m.16.days.NDVI.filled.Smoothing",59.704654026865
"R14.MOD13Q1.A2005257.061.250m.16.days.NDVI.filled.Smoothing",55.1650657774742
"R14.MOD13Q1.A2006257.061.250m.16.days.NDVI.filled.Smoothing",55.4177261761264
"R14.MOD13Q1.A2007257.061.250m.16.days.NDVI.filled.Smoothing",40.7048037863653
"R14.MOD13Q1.A2008257.061.250m.16.days.NDVI.filled.Smoothing",61.3548905826675
"R14.MOD13Q1.A2009257.061.250m.16.days.NDVI.filled.Smoothing",58.9457020649029
"R14.MOD13Q1.A2010257.061.250m.16.days.NDVI.filled.Smoothing",46.2965600962683
"R14.MOD13Q1.A2011257.061.250m.16.days.NDVI.filled.Smoothing",46.0185148925238
"R14.MOD13Q1.A2012257.061.250m.16.days.NDVI.filled.Smoothing",58.1398137634205
"R14.MOD13Q1.A2013257.061.250m.16.days.NDVI.filled.Smoothing",61.3376540307469
"R14.MOD13Q1.A2014257.061.250m.16.days.NDVI.filled.Smoothing",79.1084928297004
"R14.MOD13Q1.A2015257.061.250m.16.days.NDVI.filled.Smoothing",76.4791901857877
"R14.MOD13Q1.A2016257.061.250m.16.days.NDVI.filled.Smoothing",69.0296717135907
"R14.MOD13Q1.A2017257.061.250m.16.days.NDVI.filled.Smoothing",54.2823919128469
"R14.MOD13Q1.A2018257.061.250m.16.days.NDVI.filled.Smoothing",66.3299413108247
"R14.MOD13Q1.A2019257.061.250m.16.days.NDVI.filled.Smoothing",60.0885731204863
"R14.MOD13Q1.A2020257.061.250m.16.days.NDVI.filled.Smoothing",63.6228051500161
"R14.MOD13Q1.A2021257.061.250m.16.days.NDVI.filled.Smoothing",70.7638629109157
"R14.MOD13Q1.A2022257.061.250m.16.days.NDVI.filled.Smoothing",58.074086695576
"R14.MOD13Q1.A2023257.061.250m.16.days.NDVI.filled.Smoothing",61.323605605468
