"","x"
"R14.MOD13Q1.A2000049.061.250m.16.days.NDVI.filled.Smoothing",65.7522859517872
"R14.MOD13Q1.A2001049.061.250m.16.days.NDVI.filled.Smoothing",82.2245494488119
"R14.MOD13Q1.A2002049.061.250m.16.days.NDVI.filled.Smoothing",29.2942995398898
"R14.MOD13Q1.A2003049.061.250m.16.days.NDVI.filled.Smoothing",74.5551885842635
"R14.MOD13Q1.A2004049.061.250m.16.days.NDVI.filled.Smoothing",69.2633306515508
"R14.MOD13Q1.A2005049.061.250m.16.days.NDVI.filled.Smoothing",67.096360883385
"R14.MOD13Q1.A2006049.061.250m.16.days.NDVI.filled.Smoothing",80.6791855881607
"R14.MOD13Q1.A2007049.061.250m.16.days.NDVI.filled.Smoothing",77.8213313112535
"R14.MOD13Q1.A2008049.061.250m.16.days.NDVI.filled.Smoothing",46.8086331303413
"R14.MOD13Q1.A2009049.061.250m.16.days.NDVI.filled.Smoothing",29.971666486428
"R14.MOD13Q1.A2010049.061.250m.16.days.NDVI.filled.Smoothing",85.2680389508276
"R14.MOD13Q1.A2011049.061.250m.16.days.NDVI.filled.Smoothing",82.8971401458689
"R14.MOD13Q1.A2012049.061.250m.16.days.NDVI.filled.Smoothing",60.5793904174151
"R14.MOD13Q1.A2013049.061.250m.16.days.NDVI.filled.Smoothing",81.2856519317891
"R14.MOD13Q1.A2014049.061.250m.16.days.NDVI.filled.Smoothing",70.3657067078108
"R14.MOD13Q1.A2015049.061.250m.16.days.NDVI.filled.Smoothing",19.7815355731099
"R14.MOD13Q1.A2016049.061.250m.16.days.NDVI.filled.Smoothing",50.5734533538632
"R14.MOD13Q1.A2017049.061.250m.16.days.NDVI.filled.Smoothing",81.7455745016959
"R14.MOD13Q1.A2018049.061.250m.16.days.NDVI.filled.Smoothing",65.9372373146875
"R14.MOD13Q1.A2019049.061.250m.16.days.NDVI.filled.Smoothing",51.7122226002798
"R14.MOD13Q1.A2020049.061.250m.16.days.NDVI.filled.Smoothing",58.6686020609074
"R14.MOD13Q1.A2021049.061.250m.16.days.NDVI.filled.Smoothing",55.6765324435837
"R14.MOD13Q1.A2022049.061.250m.16.days.NDVI.filled.Smoothing",56.8188799138994
"R14.MOD13Q1.A2023049.061.250m.16.days.NDVI.filled.Smoothing",37.425832867731
"R14.MOD13Q1.A2024049.061.250m.16.days.NDVI.filled.Smoothing",46.5302940252195
