comuna,VCI
Vallenar,30.0
Huasco,25.0
Tierra Amarilla,26.0
Copiapó,29.0
Caldera,24.0
Chañaral,10.0
Diego de Almagro,35.0
Alto del Carmen,32.0
Freirina,24.0
