"","x"
"R10.MOD13Q1.A2000049.061.250m.16.days.NDVI.filled.Smoothing",54.8636039353504
"R10.MOD13Q1.A2001049.061.250m.16.days.NDVI.filled.Smoothing",74.5228424625196
"R10.MOD13Q1.A2002049.061.250m.16.days.NDVI.filled.Smoothing",33.7421327933021
"R10.MOD13Q1.A2003049.061.250m.16.days.NDVI.filled.Smoothing",69.836657316113
"R10.MOD13Q1.A2004049.061.250m.16.days.NDVI.filled.Smoothing",66.2393791673396
"R10.MOD13Q1.A2005049.061.250m.16.days.NDVI.filled.Smoothing",68.1397727153802
"R10.MOD13Q1.A2006049.061.250m.16.days.NDVI.filled.Smoothing",70.8582078152288
"R10.MOD13Q1.A2007049.061.250m.16.days.NDVI.filled.Smoothing",69.8747956898402
"R10.MOD13Q1.A2008049.061.250m.16.days.NDVI.filled.Smoothing",40.9354784143957
"R10.MOD13Q1.A2009049.061.250m.16.days.NDVI.filled.Smoothing",35.5680438992153
"R10.MOD13Q1.A2010049.061.250m.16.days.NDVI.filled.Smoothing",82.5251362805724
"R10.MOD13Q1.A2011049.061.250m.16.days.NDVI.filled.Smoothing",77.4003588435937
"R10.MOD13Q1.A2012049.061.250m.16.days.NDVI.filled.Smoothing",58.919768056198
"R10.MOD13Q1.A2013049.061.250m.16.days.NDVI.filled.Smoothing",70.6465089987117
"R10.MOD13Q1.A2014049.061.250m.16.days.NDVI.filled.Smoothing",60.1057993199081
"R10.MOD13Q1.A2015049.061.250m.16.days.NDVI.filled.Smoothing",32.5516372421953
"R10.MOD13Q1.A2016049.061.250m.16.days.NDVI.filled.Smoothing",47.7755071028954
"R10.MOD13Q1.A2017049.061.250m.16.days.NDVI.filled.Smoothing",75.5675662385633
"R10.MOD13Q1.A2018049.061.250m.16.days.NDVI.filled.Smoothing",66.0113643364499
"R10.MOD13Q1.A2019049.061.250m.16.days.NDVI.filled.Smoothing",55.0472362883611
"R10.MOD13Q1.A2020049.061.250m.16.days.NDVI.filled.Smoothing",67.6939743755554
"R10.MOD13Q1.A2021049.061.250m.16.days.NDVI.filled.Smoothing",50.0879739658357
"R10.MOD13Q1.A2022049.061.250m.16.days.NDVI.filled.Smoothing",56.3722099895365
"R10.MOD13Q1.A2023049.061.250m.16.days.NDVI.filled.Smoothing",48.896980556246
"R10.MOD13Q1.A2024049.061.250m.16.days.NDVI.filled.Smoothing",44.400834042999
