comuna,VCI
Los Vilos,16.0
Salamanca,18.0
Illapel,8.0
Canela,11.0
Combarbalá,19.0
Punitaqui,21.0
Monte Patria,15.0
Ovalle,21.0
Río Hurtado,14.0
Andacollo,21.0
Paiguano,14.0
Coquimbo,16.0
La Serena,19.0
Vicuña,15.0
La Higuera,20.0
