"","x"
"R08.MOD13Q1.A2000049.061.250m.16.days.NDVI.filled.Smoothing",62.9785263212365
"R08.MOD13Q1.A2001049.061.250m.16.days.NDVI.filled.Smoothing",61.9489941685499
"R08.MOD13Q1.A2002049.061.250m.16.days.NDVI.filled.Smoothing",39.9194833468703
"R08.MOD13Q1.A2003049.061.250m.16.days.NDVI.filled.Smoothing",60.9439044397212
"R08.MOD13Q1.A2004049.061.250m.16.days.NDVI.filled.Smoothing",53.750941635021
"R08.MOD13Q1.A2005049.061.250m.16.days.NDVI.filled.Smoothing",54.6513369407446
"R08.MOD13Q1.A2006049.061.250m.16.days.NDVI.filled.Smoothing",67.4910160011138
"R08.MOD13Q1.A2007049.061.250m.16.days.NDVI.filled.Smoothing",72.6691696573312
"R08.MOD13Q1.A2008049.061.250m.16.days.NDVI.filled.Smoothing",53.6307961504812
"R08.MOD13Q1.A2009049.061.250m.16.days.NDVI.filled.Smoothing",40.7568049288162
"R08.MOD13Q1.A2010049.061.250m.16.days.NDVI.filled.Smoothing",77.6012157256084
"R08.MOD13Q1.A2011049.061.250m.16.days.NDVI.filled.Smoothing",77.6941190546033
"R08.MOD13Q1.A2012049.061.250m.16.days.NDVI.filled.Smoothing",67.1835850315807
"R08.MOD13Q1.A2013049.061.250m.16.days.NDVI.filled.Smoothing",74.8028184858158
"R08.MOD13Q1.A2014049.061.250m.16.days.NDVI.filled.Smoothing",63.6931010373947
"R08.MOD13Q1.A2015049.061.250m.16.days.NDVI.filled.Smoothing",43.299462866947
"R08.MOD13Q1.A2016049.061.250m.16.days.NDVI.filled.Smoothing",55.0303278414743
"R08.MOD13Q1.A2017049.061.250m.16.days.NDVI.filled.Smoothing",71.670314917378
"R08.MOD13Q1.A2018049.061.250m.16.days.NDVI.filled.Smoothing",75.6549897725184
"R08.MOD13Q1.A2019049.061.250m.16.days.NDVI.filled.Smoothing",70.2617258612392
"R08.MOD13Q1.A2020049.061.250m.16.days.NDVI.filled.Smoothing",64.2603836667988
"R08.MOD13Q1.A2021049.061.250m.16.days.NDVI.filled.Smoothing",69.470410241454
"R08.MOD13Q1.A2022049.061.250m.16.days.NDVI.filled.Smoothing",60.9749569356264
"R08.MOD13Q1.A2023049.061.250m.16.days.NDVI.filled.Smoothing",43.2958820363788
"R08.MOD13Q1.A2024049.061.250m.16.days.NDVI.filled.Smoothing",59.4252514538727
