"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"6","Camiña",48,82,30,15,18,22,11,2,39,10,8,55,88,38,27,26,26,72,24,77,88,33,15,23
"3","Pozo Almonte",39,49,29,23,18,20,29,19,21,11,11,43,75,40,26,35,26,47,22,70,91,47,29,27
"2","Alto Hospicio",28,25,57,44,45,38,46,28,26,47,52,70,59,58,41,63,70,66,33,68,72,54,22,28
"4","Huara",46,71,34,20,24,26,36,16,32,9,7,43,85,41,29,39,30,63,26,75,87,39,28,32
"1","Iquique",45,36,57,44,51,48,44,43,43,51,51,56,53,49,42,56,44,56,45,63,65,53,34,42
"5","Pica",34,57,33,43,50,43,56,43,35,30,37,31,77,56,52,64,59,60,29,71,89,73,54,53
"7","Colchane",20,45,34,43,51,49,56,42,37,30,28,39,73,58,48,64,61,57,47,65,81,63,56,53
