"","x"
"R01.MOD13Q1.A2000257.061.250m.16.days.SAVI.filled.Smoothing",25.1724370884808
"R01.MOD13Q1.A2001257.061.250m.16.days.SAVI.filled.Smoothing",54.4326504700027
"R01.MOD13Q1.A2002257.061.250m.16.days.SAVI.filled.Smoothing",34.631981139847
"R01.MOD13Q1.A2003257.061.250m.16.days.SAVI.filled.Smoothing",26.9015175012261
"R01.MOD13Q1.A2004257.061.250m.16.days.SAVI.filled.Smoothing",35.4336403572094
"R01.MOD13Q1.A2005257.061.250m.16.days.SAVI.filled.Smoothing",33.1833436379689
"R01.MOD13Q1.A2006257.061.250m.16.days.SAVI.filled.Smoothing",46.73665663314
"R01.MOD13Q1.A2007257.061.250m.16.days.SAVI.filled.Smoothing",32.3524976805679
"R01.MOD13Q1.A2008257.061.250m.16.days.SAVI.filled.Smoothing",30.3584342795155
"R01.MOD13Q1.A2009257.061.250m.16.days.SAVI.filled.Smoothing",16.2295379821345
"R01.MOD13Q1.A2010257.061.250m.16.days.SAVI.filled.Smoothing",18.764174405822
"R01.MOD13Q1.A2011257.061.250m.16.days.SAVI.filled.Smoothing",48.8436895092406
"R01.MOD13Q1.A2012257.061.250m.16.days.SAVI.filled.Smoothing",74.5785749827061
"R01.MOD13Q1.A2013257.061.250m.16.days.SAVI.filled.Smoothing",46.1477296991605
"R01.MOD13Q1.A2014257.061.250m.16.days.SAVI.filled.Smoothing",42.6781565621014
"R01.MOD13Q1.A2015257.061.250m.16.days.SAVI.filled.Smoothing",55.8083300698204
"R01.MOD13Q1.A2016257.061.250m.16.days.SAVI.filled.Smoothing",48.0133397279374
"R01.MOD13Q1.A2017257.061.250m.16.days.SAVI.filled.Smoothing",53.5393670394136
"R01.MOD13Q1.A2018257.061.250m.16.days.SAVI.filled.Smoothing",31.9792696952995
"R01.MOD13Q1.A2019257.061.250m.16.days.SAVI.filled.Smoothing",67.4746228313722
"R01.MOD13Q1.A2020257.061.250m.16.days.SAVI.filled.Smoothing",87.8265212528678
"R01.MOD13Q1.A2021257.061.250m.16.days.SAVI.filled.Smoothing",54.4859570838476
"R01.MOD13Q1.A2022257.061.250m.16.days.SAVI.filled.Smoothing",43.3594924027384
"R01.MOD13Q1.A2023257.061.250m.16.days.SAVI.filled.Smoothing",38.1768132131174
